,2018rank,city,state,2018estimate,2010census,change(%),2016 land area(sq mi),2016 land area(sq km),2016 population density (/sq mi),2016 population density (/sq km),location,wiki_city_url,Annual high temperature(F),Annual low temperature(F),Average temperature(F),Average annual precipitation - rainfall(in)
0,1,New York City,New York,8398748,8175133,2.74,301.5,780.9,28317.0,10933.0,40°39′49″N 73°56′19″W﻿ / ﻿40.6635°N 73.9387°W,https://en.wikipedia.org/wiki/New_York_City,-,-,-,-
1,2,Los Angeles,California,3990456,3792621,5.22,468.7,1213.9,8484.0,3276.0,34°01′10″N 118°24′39″W﻿ / ﻿34.0194°N 118.4108°W,https://en.wikipedia.org/wiki/Los_Angeles,71.7,55.9,63.8,18.67
2,3,Chicago,Illinois,2705994,2695598,0.39,227.3,588.7,11900.0,4600.0,41°50′15″N 87°40′54″W﻿ / ﻿41.8376°N 87.6818°W,https://en.wikipedia.org/wiki/Chicago,56.8,42.5,49.65,33.2
3,4,Houston,Texas,2325502,2100263,10.72,637.5,1651.1,3613.0,1395.0,29°47′12″N 95°23′27″W﻿ / ﻿29.7866°N 95.3909°W,https://en.wikipedia.org/wiki/Houston,79.7,60.2,69.95,49.58
4,5,Phoenix,Arizona,1660272,1445632,14.85,517.6,1340.6,3120.0,1200.0,33°34′20″N 112°05′24″W﻿ / ﻿33.5722°N 112.0901°W,https://en.wikipedia.org/wiki/Phoenix,86.7,63.4,75.05,8.04
5,6,Philadelphia,Pennsylvania,1584138,1526006,3.81,134.2,347.6,11683.0,4511.0,40°00′34″N 75°08′00″W﻿ / ﻿40.0094°N 75.1333°W,https://en.wikipedia.org/wiki/Philadelphia,64.7,47.0,55.85,41.45
6,7,San Antonio,Texas,1532233,1327407,15.43,461.0,1194.0,3238.0,1250.0,29°28′21″N 98°31′30″W﻿ / ﻿29.4724°N 98.5251°W,https://en.wikipedia.org/wiki/San_Antonio,79.8,57.6,68.7,32.91
7,8,San Diego,California,1425976,1307402,9.07,325.2,842.3,4325.0,1670.0,32°48′55″N 117°08′06″W﻿ / ﻿32.8153°N 117.1350°W,https://en.wikipedia.org/wiki/San_Diego,69.8,57.5,63.65,10.4
8,9,Dallas,Texas,1345047,1197816,12.29,340.9,882.9,3866.0,1493.0,32°47′36″N 96°45′59″W﻿ / ﻿32.7933°N 96.7665°W,https://en.wikipedia.org/wiki/Dallas,77.1,51.5,64.3,40.97
9,10,San Jose,California,1030119,945942,8.9,177.5,459.7,5777.0,2231.0,37°17′48″N 121°49′08″W﻿ / ﻿37.2967°N 121.8189°W,https://en.wikipedia.org/wiki/San_Jose,72.6,50.5,61.55,15.09
10,11,Austin,Texas,964254,790390,22.0,312.7,809.9,3031.0,1170.0,30°18′14″N 97°45′16″W﻿ / ﻿30.3039°N 97.7544°W,https://en.wikipedia.org/wiki/Austin,79.8,59.0,69.4,34.25
11,12,Jacksonville,Florida,903889,821784,9.99,747.4,1935.8,1178.0,455.0,30°20′13″N 81°39′42″W﻿ / ﻿30.3369°N 81.6616°W,https://en.wikipedia.org/wiki/Jacksonville,79.9,55.9,67.9,-
12,13,Fort Worth,Texas,895008,741206,20.75,342.9,888.1,2491.0,962.0,32°46′53″N 97°20′48″W﻿ / ﻿32.7815°N 97.3467°W,https://en.wikipedia.org/wiki/Fort_Worth,76.7,53.8,65.25,-
13,14,Columbus,Ohio,892533,787033,13.4,218.5,565.9,3936.0,1520.0,39°59′07″N 82°59′05″W﻿ / ﻿39.9852°N 82.9848°W,https://en.wikipedia.org/wiki/Columbus,62.5,43.3,52.9,56.11
14,15,San Francisco,California,883305,805235,9.7,46.9,121.5,18569.0,7170.0,37°43′38″N 123°01′56″W﻿ / ﻿37.7272°N 123.0322°W,https://en.wikipedia.org/wiki/San_Francisco,63.8,50.8,57.3,23.64
15,16,Charlotte,North Carolina,872498,731424,19.29,305.4,791.0,2757.0,1064.0,35°12′28″N 80°49′52″W﻿ / ﻿35.2078°N 80.8310°W,https://en.wikipedia.org/wiki/Charlotte,70.8,48.8,59.8,41.63
16,17,Indianapolis,Indiana,867125,820445,5.69,361.5,936.3,2366.0,914.0,39°46′36″N 86°08′45″W﻿ / ﻿39.7767°N 86.1459°W,https://en.wikipedia.org/wiki/Indianapolis,62.4,43.8,53.1,42.2
